320,"[u'0227', u'0260', u'0281', u'0328', u'0340', u'0347', u'0348', u'0514', u'0521', u'0567', u'0631', u'1028', u'1052', u'1063', u'1077', u'1080', u'1509', u'1588', u'2019', u'2069', u'2082', u'2104', u'2176', u'2190', u'2202', u'2216', u'2236', u'2299', u'2302', u'2312', u'2409', u'2546', u'2600', u'2601', u'2631', u'2681', u'2690', u'2727', u'2729', u'2730', u'2756', u'2766']"
2,"[u'0006', u'0017', u'0020', u'0029', u'0039', u'0040', u'0050', u'0063', u'0064', u'0077', u'0084', u'0087', u'0088', u'0101', u'0104', u'0105', u'0111', u'0130', u'0139', u'0176', u'0287', u'0330', u'0506', u'0512', u'0522', u'0528', u'0538', u'0555', u'0571', u'0578', u'1021', u'1042', u'1044', u'1101', u'1111', u'1115', u'1121', u'1137', u'1173', u'1188', u'1203', u'1206', u'1215', u'1227', u'1240', u'1251', u'1252', u'1291', u'1296', u'1312', u'1316', u'1326', u'1346', u'1370', u'1516', u'1564', u'1568', u'1596', u'1601', u'2020', u'2022', u'2027', u'2070', u'2188', u'2205', u'2260', u'2261', u'2273', u'2281', u'2417', u'2440', u'2444', u'2575', u'2583', u'2614', u'2619', u'2644', u'2669', u'2681', u'2700', u'2708', u'2711', u'2727', u'2746', u'2763', u'2783', u'2808']"
5,"[u'0000', u'0009', u'0043', u'0069', u'0091', u'0110', u'0120', u'0121', u'0122', u'0126', u'0131', u'0132', u'0171', u'0172', u'0179', u'0182', u'0190', u'0213', u'0234', u'0243', u'0247', u'0300', u'0353', u'0503', u'0525', u'0529', u'0534', u'0535', u'0553', u'1010', u'1022', u'1024', u'1025', u'1034', u'1038', u'1040', u'1046', u'1049', u'1057', u'1059', u'1079', u'1103', u'1110', u'1116', u'1118', u'1122', u'1128', u'1143', u'1158', u'1161', u'1174', u'1201', u'1218', u'1237', u'1243', u'1245', u'1253', u'1259', u'1260', u'1264', u'1268', u'1270', u'1272', u'1281', u'1287', u'1290', u'1294', u'1295', u'1296', u'1302', u'1303', u'1304', u'1307', u'1319', u'1326', u'1369', u'1512', u'1621', u'2002', u'2011', u'2017', u'2026', u'2056', u'2058', u'2065', u'2072', u'2091', u'2153', u'2157', u'2163', u'2169', u'2178', u'2206', u'2223', u'2297', u'2299', u'2331', u'2362', u'2376', u'2403', u'2447', u'2466', u'2510', u'2516', u'2517', u'2568', u'2606', u'2632', u'2701', u'2730', u'2756']"
4,"[u'0013', u'0025', u'0026', u'0034', u'0037', u'0047', u'0055', u'0060', u'0071', u'0078', u'0085', u'0103', u'0104', u'0108', u'0122', u'0127', u'0147', u'0152', u'0164', u'0165', u'0178', u'0186', u'0192', u'0198', u'0199', u'0204', u'0210', u'0221', u'0259', u'0280', u'0282', u'0285', u'0301', u'0307', u'0330', u'0348', u'0502', u'0503', u'0513', u'0514', u'0523', u'0527', u'0534', u'0536', u'0544', u'0551', u'0553', u'0620', u'1003', u'1017', u'1021', u'1036', u'1039', u'1054', u'1062', u'1073', u'1104', u'1120', u'1133', u'1139', u'1144', u'1149', u'1151', u'1152', u'1156', u'1159', u'1180', u'1181', u'1193', u'1210', u'1212', u'1219', u'1221', u'1234', u'1235', u'1258', u'1275', u'1289', u'1297', u'1299', u'1304', u'1315', u'1336', u'1512', u'1517', u'1574', u'1575', u'1609', u'2000', u'2001', u'2004', u'2006', u'2010', u'2024', u'2031', u'2032', u'2059', u'2065', u'2078', u'2079', u'2087', u'2103', u'2119', u'2152', u'2175', u'2202', u'2218', u'2232', u'2241', u'2243', u'2262', u'2282', u'2298', u'2301', u'2311', u'2320', u'2332', u'2362', u'2380', u'2400', u'2418', u'2427', u'2468', u'2498', u'2509', u'2577', u'2589', u'2620', u'2632', u'2671', u'2718', u'2723', u'2746', u'2758', u'2791', u'2800', u'3006']"
7,"[u'0004', u'0014', u'0080', u'0261', u'0590', u'1026', u'1102', u'1106', u'1117', u'1131', u'1146', u'1157', u'1256', u'1261', u'1271', u'1284', u'1293', u'1300', u'1308', u'1310', u'1328', u'2012', u'2016', u'2075', u'2078', u'2086', u'2177', u'2220', u'2315', u'2323', u'2353', u'2373', u'2479', u'2497', u'2720', u'2767']"
400,"[u'0072', u'0086', u'0117', u'0119', u'0121', u'0122', u'0144', u'0155', u'0172', u'0179', u'0180', u'0189', u'0190', u'0193', u'0200', u'0207', u'0212', u'0214', u'0223', u'0224', u'0225', u'0230', u'0234', u'0235', u'0243', u'0244', u'0266', u'0288', u'0292', u'0304', u'0308', u'0321', u'0342', u'0349', u'0351', u'0519', u'0526', u'0530', u'0531', u'0535', u'0562', u'0575', u'0596', u'0601', u'0616', u'0623', u'0627', u'0634', u'0635', u'1010', u'1014', u'1015', u'1016', u'1033', u'1038', u'1040', u'1048', u'1050', u'1058', u'1065', u'1107', u'1108', u'1127', u'1130', u'1134', u'1138', u'1140', u'1144', u'1150', u'1156', u'1160', u'1162', u'1166', u'1169', u'1174', u'1182', u'1183', u'1196', u'1235', u'1236', u'1245', u'1254', u'1279', u'1280', u'1281', u'1294', u'1296', u'1304', u'1306', u'1309', u'1311', u'1318', u'1319', u'1330', u'1337', u'1339', u'1345', u'1350', u'1358', u'1501', u'1507', u'1565', u'1569', u'1590', u'1594', u'1595', u'1605', u'2005', u'2010', u'2014', u'2021', u'2061', u'2085', u'2089', u'2135', u'2136', u'2137', u'2151', u'2153', u'2157', u'2171', u'2173', u'2191', u'2200', u'2207', u'2222', u'2224', u'2225', u'2245', u'2249', u'2253', u'2283', u'2297', u'2302', u'2306', u'2325', u'2332', u'2334', u'2342', u'2361', u'2364', u'2371', u'2382', u'2402', u'2419', u'2425', u'2443', u'2447', u'2492', u'2503', u'2511', u'2514', u'2534', u'2536', u'2538', u'2555', u'2559', u'2567', u'2568', u'2577', u'2585', u'2605', u'2608', u'2612', u'2620', u'2632', u'2640', u'2658', u'2666', u'2672', u'2677', u'2690', u'2709', u'2712', u'2726', u'2732', u'2748', u'2781', u'3004']"
9,"[u'0005', u'0009', u'0044', u'0052', u'0053', u'0056', u'0057', u'0085', u'0114', u'0142', u'0150', u'0162', u'0165', u'0175', u'0185', u'0197', u'0208', u'0211', u'0222', u'0233', u'0264', u'0268', u'0270', u'0289', u'0328', u'0338', u'0361', u'0512', u'0515', u'0520', u'0583', u'0586', u'0590', u'1004', u'1009', u'1016', u'1060', u'1076', u'1095', u'1105', u'1109', u'1141', u'1154', u'1172', u'1189', u'1200', u'1208', u'1232', u'1241', u'1248', u'1250', u'1257', u'1269', u'1275', u'1276', u'1293', u'1310', u'1325', u'1502', u'1503', u'1562', u'1610', u'2030', u'2039', u'2048', u'2101', u'2123', u'2150', u'2162', u'2189', u'2195', u'2286', u'2330', u'2331', u'2335', u'2353', u'2356', u'2372', u'2455', u'2460', u'2494', u'2606', u'2610', u'2706', u'2707', u'2711', u'2753', u'2755', u'2773']"
420,"[u'0005', u'0044', u'0053', u'0056', u'0142', u'0150', u'0197', u'0211', u'0222', u'0264', u'0291', u'0338', u'0361', u'1009', u'1060', u'1141', u'1172', u'1189', u'1200', u'1232', u'1257', u'1269', u'1275', u'1276', u'1610', u'2039', u'2048', u'2101', u'2150', u'2286', u'2460', u'2610', u'2706', u'2720']"
500,"[u'0013', u'0033', u'0087', u'0267', u'0301', u'0353', u'0354', u'1017', u'1070', u'1173', u'2322', u'2547']"
200,"[u'0008', u'0030', u'0041', u'0043', u'0067', u'0082', u'0110', u'0154', u'0170', u'0228', u'0285', u'0319', u'0325', u'0327', u'0348', u'0507', u'0508', u'0516', u'0517', u'0518', u'0524', u'0525', u'0531', u'0540', u'0542', u'0598', u'0613', u'0632', u'1015', u'1028', u'1032', u'1045', u'1084', u'1114', u'1125', u'1131', u'1186', u'1192', u'1195', u'1227', u'1234', u'1237', u'1315', u'1316', u'1326', u'1335', u'1356', u'1368', u'1500', u'1512', u'1608', u'1614', u'2030', u'2060', u'2102', u'2169', u'2187', u'2223', u'2350', u'2428', u'2545', u'2576', u'2599', u'2656', u'2657', u'2699', u'2701', u'2718', u'2728', u'2745', u'2772', u'2780', u'2808']"
300,"[u'0585', u'1176', u'2057', u'2301', u'2611', u'2712']"
440,"[u'0021', u'0023', u'0035', u'0058', u'0059', u'0068', u'0081', u'0129', u'0143', u'0153', u'0214', u'0265', u'0284', u'0311', u'0342', u'0356', u'0585', u'1023', u'1033', u'1050', u'1067', u'1093', u'1100', u'1132', u'1136', u'1157', u'1183', u'1190', u'1194', u'1202', u'1213', u'1216', u'1231', u'1247', u'1254', u'1266', u'1267', u'1279', u'1283', u'1288', u'1289', u'1298', u'1301', u'1376', u'1593', u'1598', u'1606', u'1612', u'2003', u'2009', u'2016', u'2023', u'2117', u'2136', u'2160', u'2167', u'2173', u'2181', u'2201', u'2334', u'2402', u'2442', u'2482', u'2514', u'2537', u'2593', u'2596', u'2609', u'2616', u'2635', u'2641', u'2661', u'2742', u'2804', u'3007']"
8,"[u'0004', u'0233', u'0261', u'0594', u'1072', u'1076', u'1327', u'1338', u'2177', u'2278', u'2340', u'2411', u'2441', u'2590', u'2629', u'2632']"
100,"[u'0001', u'0018', u'0046', u'0051', u'0061', u'0065', u'0105', u'0124', u'0138', u'0161', u'0167', u'0196', u'0227', u'0231', u'0242', u'0260', u'0272', u'0280', u'0298', u'0325', u'0346', u'0347', u'0505', u'0518', u'0519', u'0539', u'0566', u'0567', u'0584', u'0616', u'0619', u'1018', u'1029', u'1043', u'1052', u'1074', u'1080', u'1153', u'1187', u'1359', u'1369', u'1568', u'2013', u'2019', u'2104', u'2155', u'2198', u'2214', u'2236', u'2242', u'2312', u'2317', u'2326', u'2383', u'2400', u'2426', u'2476', u'2515', u'2586', u'2700', u'2729', u'2747']"
220,"[u'0190', u'0247', u'1128', u'1268', u'1281']"
11,"[u'0348', u'0352', u'1230', u'1358', u'1518', u'2376', u'2672', u'2698', u'2713', u'2741']"
