index,id,name,problemTimeLimit,problemMemoryLimit,maxScore,solvedUser,submissions,recommendations,isSolved,bookmark,recommend,successRate,score,userScore,AC,TLE,MLE,WA,RTE,cat,KM,LargeCl,MiddleCl
123,ALDS1_7_D,Reconstruction of a Tree,1,65536,100,384,881,0,False,False,False,0,0.3333333333,0,488,8,0,249,136,-1,Hard,na,na
124,ITP1_1_D,Watch,1,65536,100,8483,19241,0,False,False,False,0,0.32,0,10471,37,0,6889,1844,-1,Medium,na,na
125,ITP1_2_D,Circle in a Rectangle,1,65536,100,6286,17257,0,False,False,False,0,0.32,0,7527,21,0,8645,1064,-1,Medium,na,na
126,ITP1_3_D,How Many Divisors?,1,65536,100,5577,11130,0,False,False,False,0,0.32,0,6645,189,0,3498,798,-1,Easy,na,na
127,ITP1_4_D,"Min, Max and Sum",1,65536,100,4717,22387,0,False,False,False,0,0.32,0,6112,181,10,14537,1547,-1,Medium,na,na
128,ITP1_5_D,Structured Programming,1,65536,100,3315,16823,0,False,False,False,0,0.32,0,3934,444,9,11959,475,-1,Medium,na,na
129,ITP1_6_D,Matrix Vector Multiplication,1,65536,100,2973,5879,0,False,False,False,0,0.32,0,3481,107,1,1548,742,-1,Easy,na,na
130,ITP1_7_D,Matrix Multiplication,1,65536,100,2446,10177,0,False,False,False,0,0.32,0,3042,115,6,6247,767,-1,Easy,na,na
131,ITP1_8_D,Ring,1,65536,100,2136,5208,0,False,False,False,0,0.32,0,2636,73,2,1975,522,-1,Easy,na,na
132,ITP1_9_D,Transformation,1,65536,100,1703,4586,0,False,False,False,0,0.32,0,2054,38,1,1821,672,-1,Easy,na,na
133,ITP1_10_D,Distance II,1,65536,100,1809,3876,0,False,False,False,0,0.32,0,2174,20,0,1436,244,-1,Easy,na,na
134,ITP1_11_A,Dice I,1,65536,100,1534,3403,0,False,False,False,0,0.32,0,2074,21,0,998,310,-1,Hard,na,na
135,ITP1_11_B,Dice II,1,65536,100,1266,2680,0,False,False,False,0,0.32,0,1662,146,6,669,197,-1,Hard,na,na
136,ITP1_11_C,Dice III,1,65536,100,1103,4252,0,False,False,False,0,0.32,0,1620,112,4,2343,173,-1,Easy,na,na
137,ITP1_11_D,Dice IV,1,65536,100,1028,3399,0,False,False,False,0,0.32,0,1479,143,10,1483,284,-1,Hard,na,na
138,ALDS1_13_A,8 Queens Problem,1,65536,100,377,842,0,False,False,False,0,0.3395225464,0,488,4,0,281,69,-1,Hard,na,na
139,ALDS1_13_B,8 Puzzle,1,65536,100,229,1204,0,False,False,False,0,0.5589519651,0,360,196,105,392,151,-1,Hard,na,na
140,ALDS1_13_C,15 Puzzle,3,262144,100,136,1101,0,False,False,False,0,0.9411764706,0,307,224,272,240,58,-1,Hard,na,na
141,ALDS1_11_D,Connected Components,1,65536,100,442,2208,0,False,False,False,0,0.32,0,697,354,97,655,405,-1,Hard,na,na
142,GRL_6_A,Maximum Flow,1,65536,100,244,1312,0,False,False,False,0,0.5245901639,0,761,91,6,343,111,-1,Hard,na,na
143,GRL_4_B,Topological Sort,1,65536,100,291,776,0,False,False,False,0,0.439862543,0,505,16,28,148,79,-1,Hard,na,na
144,CGL_7_A,Intersection,1,65536,100,72,101,0,False,False,False,0,1.7777777778,0,80,1,0,14,6,-1,Hard,na,na
145,CGL_7_D,Cross Points of a Circle and a Line,1,65536,100,141,430,0,False,False,False,0,0.9078014184,0,200,1,0,204,25,-1,Hard,na,na
146,CGL_7_E,Cross Points of Circles,1,65536,100,134,351,0,False,False,False,0,0.9552238806,0,180,0,0,163,8,-1,Hard,na,na
147,DPL_3_A,Largest Square,1,65536,100,197,862,0,False,False,False,0,0.6497461929,0,322,33,30,413,64,-1,Hard,na,na
148,DPL_3_B,Largest Rectangle,1,65536,100,135,582,0,False,False,False,0,0.9481481481,0,198,68,15,258,43,-1,Hard,na,na
149,CGL_6_A,Segment Intersections: Manhattan Geometry,2,65536,100,69,322,0,False,False,False,0,1.8550724638,0,137,35,0,140,10,-1,Hard,na,na
150,ALDS1_14_A,Naive String Search,1,65536,100,253,456,0,False,False,False,0,0.5059288538,0,315,12,0,70,59,-1,Hard,na,na
151,ALDS1_14_B,String Search,1,262144,100,163,1156,0,False,False,False,0,0.7852760736,0,279,520,2,259,96,-1,Hard,na,na
152,ALDS1_14_C,Pattern Search,3,262144,100,63,434,0,False,False,False,0,2.0317460318,0,97,136,10,140,51,-1,Hard,na,na
153,ALDS1_14_D,Multiple String Matching,3,262144,100,65,933,0,False,False,False,0,1.9692307692,0,178,314,45,234,162,-1,Hard,na,na
154,GRL_6_B,Minimum Cost Flow,1,65536,100,114,309,0,False,False,False,0,1.1228070175,0,194,6,6,83,20,-1,Hard,na,na
155,CGL_7_C,Excircle of a Triangle,1,65536,100,0,0,0,False,False,False,0,0,0,0,0,0,0,0,-1,Hard,na,na
156,CGL_7_F,Tangent to a Circle,1,65536,100,51,63,0,False,False,False,0,2.5098039216,0,56,0,0,7,0,-1,Hard,na,na
157,DSL_4_A,Union of Rectangles,6,262144,100,51,206,0,False,False,False,0,2.5098039216,0,76,21,4,73,32,-1,Hard,na,na
158,DSL_3_C,The Number of Windows,3,131072,100,58,164,0,False,False,False,0,2.2068965517,0,85,12,0,56,11,-1,Hard,na,na
159,DSL_5_A,The Maximum Number of Customers,1,131072,100,83,171,0,False,False,False,0,1.5421686747,0,95,18,0,58,0,-1,Hard,na,na
160,DSL_3_A,The Smallest Window I,1,131072,100,85,302,0,False,False,False,0,1.5058823529,0,135,25,2,124,16,-1,Hard,na,na
161,DPL_1_F,0-1 Knapsack Problem II,1,131072,100,94,238,0,False,False,False,0,1.3617021277,0,112,4,7,84,31,-1,Hard,na,na
162,DPL_1_G,Knapsack Problem with Limitations,1,131072,100,54,165,0,False,False,False,0,2.3703703704,0,71,38,3,42,11,-1,Hard,na,na
163,DPL_4_B,Coin Combination Problem II,3,262144,100,34,74,0,False,False,False,0,3.7647058824,0,43,5,0,22,4,-1,Hard,na,na
