index,index2,id,name,problemTimeLimit,problemMemoryLimit,maxScore,solvedUser,submissions,recommendations,isSolved,bookmark,recommend,successRate,score,userScore,AC,TLE,MLE,WA,RTE,cat
105,105,DPL_1_B,0-1 Knapsack Problem,1,65536,100,859,2901,0,False,False,False,0,0.32,0,1393,139,28,1110,231,-1
106,106,DPL_1_C,Knapsack Problem,1,65536,100,524,1279,0,False,False,False,0,0.32,0,699,111,24,350,95,-1
107,107,DPL_1_D,Longest Increasing Subsequence,1,65536,100,415,1795,0,False,False,False,0,0.32,0,676,294,15,720,90,-1
108,108,GRL_4_A,Cycle Detection for a Directed Graph,1,65536,100,157,401,0,False,False,False,0,0.8152866242,0,204,55,13,106,23,-1
109,109,DSL_2_C,Range Search (kD Tree),1,262144,100,163,1570,0,False,False,False,0,0.7852760736,0,357,652,113,339,109,-1
110,110,DPL_2_A,Traveling Salesman Problem,1,65536,100,208,659,0,False,False,False,0,0.6153846154,0,345,63,16,216,19,-1
111,111,DPL_2_B,Chinese Postman Problem,1,65536,100,58,131,0,False,False,False,0,2.2068965517,0,73,2,1,48,7,-1
112,112,DPL_1_E,Edit Distance (Levenshtein Distance),1,65536,100,319,883,0,False,False,False,0,0.4012539185,0,409,6,2,411,55,-1
113,113,GRL_5_C,Lowest Common Ancestor,1,65536,100,172,914,0,False,False,False,0,0.7441860465,0,456,90,23,162,183,-1
114,114,NTL_1_E,Extended Euclid Algorithm,1,65536,100,181,411,0,False,False,False,0,0.7071823204,0,233,37,0,115,26,-1
115,115,GRL_7_A,Bipartite Matching,1,65536,100,172,433,0,False,False,False,0,0.7441860465,0,262,18,0,106,47,-1
116,116,GRL_1_A,Single Source Shortest Path,3,131072,100,498,2854,0,False,False,False,0,0.32,0,1007,432,133,946,336,-1
117,117,ALDS1_1_D,Maximum Profit,1,65536,100,2586,12573,0,False,False,False,0,0.32,0,3761,1618,103,6082,1009,-1
118,118,ALDS1_2_D,Shell Sort,6,131072,100,1098,5741,0,False,False,False,0,0.32,0,1846,188,48,2853,794,-1
119,119,ALDS1_3_D,Areas on the Cross-Section Diagram,1,65536,100,775,3003,0,False,False,False,0,0.32,0,1166,116,34,1376,311,-1
120,120,ALDS1_4_D,Allocation,1,65536,100,783,3814,0,False,False,False,0,0.32,0,1324,535,11,1660,284,-1
